,city,state,country,lat,lng,localtime,tz_id,last_updated,temp_c,condition,wind_mph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,vis_km,uv,gust_mph
0,Abohar,Punjab,India,30.15,74.18,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,36.9,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",5.8,156,SSE,1002.0,29.6,0.4,0.02,43,78,43.1,9.0,8.0,8.7
1,Achalpur,Maharashtra,India,21.26,77.51,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,27.6,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",4.3,347,NNW,1002.0,29.59,0.2,0.01,80,100,31.5,10.0,6.0,5.8
2,Adilabad,Andhra Pradesh,India,19.67,78.53,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,23.9,"['Moderate rain', 1189, '//cdn.weatherapi.com/weather/64x64/day/302.png']",14.3,272,W,1003.0,29.62,7.0,0.28,94,92,26.4,7.0,5.0,19.0
3,Adityapur,,Bangladesh,23.2,90.12,2023-07-22 10:53,Asia/Dhaka,2023-07-22 10:45,30.8,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",15.9,134,SE,1007.0,29.74,0.0,0.0,75,98,38.3,10.0,7.0,18.8
4,Adoni,Andhra Pradesh,India,15.63,77.28,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,25.5,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",19.9,265,W,1008.0,29.77,0.0,0.0,72,60,27.3,10.0,7.0,25.1
5,Agartala,Tripura,India,23.84,91.28,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,34.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",5.6,130,SE,1008.0,29.77,0.0,0.0,60,50,43.3,6.0,8.0,7.8
6,Agra,Uttar Pradesh,India,27.18,78.02,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,37.8,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",13.4,121,ESE,1003.0,29.61,0.0,0.0,40,47,43.7,10.0,9.0,15.4
7,Ahmadabad,Herat,Afghanistan,34.25,62.42,2023-07-22 9:23,Asia/Kabul,2023-07-22 09:15,32.7,"['Sunny', 1000, '//cdn.weatherapi.com/weather/64x64/day/113.png']",13.9,32,NNE,1005.0,29.69,0.0,0.0,14,0,30.5,10.0,8.0,15.9
8,Ahmadnagar,Maharashtra,India,19.08,74.73,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,22.1,"['Light rain', 1183, '//cdn.weatherapi.com/weather/64x64/day/296.png']",14.5,263,W,1006.0,29.72,1.1,0.04,91,100,24.6,9.0,5.0,18.6
9,Aizawl,Mizoram,India,23.72,92.72,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,25.0,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",2.2,329,NNW,1009.0,29.79,0.5,0.02,90,76,27.8,9.0,6.0,2.0
10,Ajmer,Rajasthan,India,26.45,74.63,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,32.4,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",3.4,334,NNW,1004.0,29.64,0.1,0.0,59,75,37.8,10.0,7.0,4.0
11,Akbarpur,Uttar Pradesh,India,26.38,79.95,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,36.9,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",15.7,90,E,1003.0,29.61,0.1,0.0,43,81,43.1,10.0,8.0,18.6
12,Akola,Maharashtra,India,20.73,77.0,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,23.7,"['Moderate rain', 1189, '//cdn.weatherapi.com/weather/64x64/day/302.png']",12.8,297,WNW,1002.0,29.6,4.3,0.17,97,100,26.3,7.0,5.0,18.8
13,Alandur,Tamil Nadu,India,13.0,80.21,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",15.0,240,WSW,1006.0,29.71,0.0,0.0,63,75,34.0,5.0,8.0,21.9
14,Alappuzha,Kerala,India,9.49,76.33,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,27.5,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",10.1,294,WNW,1013.0,29.92,0.2,0.01,82,80,31.5,9.0,6.0,14.1
15,Aligarh,Uttar Pradesh,India,27.88,78.08,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,36.0,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",14.1,121,ESE,1004.0,29.64,0.0,0.0,48,50,42.7,10.0,9.0,16.1
16,Allahabad,Uttar Pradesh,India,25.45,81.85,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,35.3,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",16.3,91,E,1003.0,29.62,0.0,0.0,50,100,42.0,10.0,8.0,19.0
17,Alwar,Rajasthan,India,27.57,76.6,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,34.7,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",8.3,127,SE,1003.0,29.62,0.0,0.0,51,63,40.9,10.0,7.0,9.8
18,Ambala,Haryana,India,30.38,76.78,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,29.4,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",17.4,115,ESE,1005.0,29.69,0.4,0.02,73,100,34.2,10.0,6.0,25.1
19,Ambala,,Bangladesh,22.95,90.08,2023-07-22 10:53,Asia/Dhaka,2023-07-22 10:45,30.8,"['Overcast', 1009, '//cdn.weatherapi.com/weather/64x64/day/122.png']",15.9,134,SE,1007.0,29.74,0.0,0.0,75,98,38.3,10.0,7.0,18.8
20,Ambarnath,Maharashtra,India,19.2,73.17,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,26.0,"['Moderate rain at times', 1186, '//cdn.weatherapi.com/weather/64x64/day/299.png']",11.9,290,WNW,1006.0,29.71,1.9,0.07,100,100,30.0,1.5,5.0,11.0
21,Ambattur,Tamil Nadu,India,13.08,80.09,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,32.0,"['Mist', 1030, '//cdn.weatherapi.com/weather/64x64/day/143.png']",15.0,240,WSW,1006.0,29.71,0.0,0.0,63,75,33.2,5.0,8.0,21.7
22,Ambikapur,Chhattisgarh,India,23.12,83.2,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,29.9,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",8.3,110,ESE,1003.0,29.63,0.2,0.01,65,89,33.9,10.0,6.0,10.5
23,Ambur,Tamil Nadu,India,12.78,78.7,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,30.5,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",21.9,265,W,1009.0,29.8,0.0,0.0,47,48,31.8,10.0,8.0,25.3
24,Amravati,Maharashtra,India,20.93,77.75,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,25.7,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",4.3,223,SW,1002.0,29.59,1.0,0.04,90,100,29.0,10.0,6.0,7.2
25,Amreli,Gujarat,India,21.62,71.23,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,28.6,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",10.5,278,W,1005.0,29.67,0.0,0.0,77,86,33.1,10.0,6.0,13.2
26,Amritsar,Punjab,India,31.63,74.87,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,26.0,"['Moderate or heavy rain with thunder', 1276, '//cdn.weatherapi.com/weather/64x64/day/389.png']",9.4,70,ENE,1007.0,29.74,0.5,0.02,94,100,27.4,3.0,7.0,19.9
27,Amroha,Uttar Pradesh,India,28.92,78.47,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,30.0,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",15.7,95,E,1006.0,29.7,0.4,0.02,73,71,35.6,10.0,7.0,22.6
28,Anand,Gujarat,India,22.57,72.93,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,29.5,"['Light rain shower', 1240, '//cdn.weatherapi.com/weather/64x64/day/353.png']",9.2,275,W,1004.0,29.64,0.4,0.02,77,100,35.3,10.0,6.0,13.9
29,Anantapur,Andhra Pradesh,India,14.68,77.6,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,27.2,"['Cloudy', 1006, '//cdn.weatherapi.com/weather/64x64/day/119.png']",24.2,270,W,1009.0,29.78,0.0,0.0,63,81,28.8,10.0,6.0,27.7
30,Anantnag,Jammu and Kashmir,India,33.73,75.15,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,21.8,"['Patchy rain possible', 1063, '//cdn.weatherapi.com/weather/64x64/day/176.png']",3.6,262,W,1008.0,29.76,0.3,0.01,66,83,21.8,9.0,5.0,5.8
31,Arrah,Vallee du Bandama,Cote d'Ivoire,6.67,-3.97,2023-07-22 4:53,Africa/Abidjan,2023-07-22 04:45,21.5,"['Fog', 1135, '//cdn.weatherapi.com/weather/64x64/night/248.png']",4.5,219,SW,1016.0,29.99,0.0,0.0,98,100,21.5,0.0,1.0,6.9
32,Asansol,West Bengal,India,23.68,86.98,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,32.3,"['Thundery outbreaks possible', 1087, '//cdn.weatherapi.com/weather/64x64/day/200.png']",15.4,103,ESE,1005.0,29.68,0.1,0.0,64,68,39.1,9.0,7.0,19.5
33,Ashoknagar,Madhya Pradesh,India,24.57,77.72,2023-07-22 10:23,Asia/Kolkata,2023-07-22 10:15,33.4,"['Partly cloudy', 1003, '//cdn.weatherapi.com/weather/64x64/day/116.png']",13.4,73,ENE,1003.0,29.6,0.0,0.0,52,44,38.1,10.0,8.0,15.4
