city,latitude,longitude
Abohar,30.15,74.18
Achalpur,21.26,77.51
Adilabad,19.67,78.53
Adityapur,23.2,90.12
Adoni,15.63,77.28
Agartala,23.84,91.28
Agra,27.18,78.02
Ahmadabad,34.25,62.42
Ahmadnagar,19.08,74.73
Aizawl,23.72,92.72
Ajmer,26.45,74.63
Akbarpur,26.38,79.95
Akola,20.73,77.0
Alandur,13.0,80.21
Alappuzha,9.49,76.33
Aligarh,27.88,78.08
Allahabad,25.45,81.85
Alwar,27.57,76.6
Ambala,30.38,76.78
Ambala,22.95,90.08
Ambarnath,19.2,73.17
Ambattur,13.08,80.09
Ambikapur,23.12,83.2
Ambur,12.78,78.7
Amravati,20.93,77.75
Amreli,21.62,71.23
Amritsar,31.63,74.87
Amroha,28.92,78.47
Anand,22.57,72.93
Anantapur,14.68,77.6
Anantnag,33.73,75.15
Arrah,6.67,-3.97
Asansol,23.68,86.98
Ashoknagar,24.57,77.72
Aurangabad,19.88,75.33
Aurangabad,19.88,75.33
Avadi,13.12,80.1
Azamgarh,26.06,83.19
Badlapur,19.15,73.27
Bagaha,27.1,84.08
Bagalkot,16.18,75.7
Bahadurgarh,28.68,76.92
Baharampur,24.1,88.25
Bahraich,27.58,81.6
Baidyabati,22.79,88.32
Baleshwar,21.49,86.93
Ballia,25.75,84.17
Bally,22.65,88.34
Bally Bally,-32.17,117.1
Balurghat,25.22,88.77
Bandarlampung,-5.43,105.26
Bankura,23.25,87.07
Jalkar Bansberia,24.62,88.25
Banswara,23.55,74.45
Baranagar,22.64,88.37
Baranagar,22.64,88.37
Barasat,22.68,88.44
Baraut,29.1,77.27
Barddhaman,23.24,87.87
Bareilly,28.35,79.42
Baripada,21.94,86.72
Barnala,30.38,75.55
Barshi,43.05,42.52
Basirhat,22.66,88.89
Basti,26.8,82.72
Batala,31.82,75.2
Beawar,26.1,74.32
Begusarai,25.42,86.13
Belgaum,15.87,74.5
Bellary,15.15,76.93
Bengaluru,12.98,77.58
Bettiah,26.8,84.5
Betul,21.86,77.93
Bhadrak,21.05,86.52
Bhadravati,13.87,75.72
Bhadreswar,22.82,88.35
Bhagalpur,25.25,87.0
Pur Pur,-7.71,-77.78
Bharatpur,27.22,77.48
Bharuch,21.7,72.97
Bhatpara,22.87,88.41
Bhavnagar,21.77,72.15
Bhilai,21.22,81.43
Bhilwara,25.35,74.63
Bhimavaram,16.53,81.53
Bhind,26.56,78.79
Bhiwandi,19.3,73.07
Bhiwani,28.78,76.13
Bhopal,23.27,77.4
Bhubaneswar,23.83,89.95
Bhuj,23.27,69.67
Bhusawal,21.05,75.77
Block Island State Airport,41.17,-71.58
Bidar,17.9,77.55
Nagar,22.93,90.17
Bijapur,16.83,75.7
Bikaner,28.02,73.3
Bilaspur,22.08,82.15
Bokaro,23.78,85.97
Bongaon,23.07,88.82
Botad,22.17,71.67
Brahmapur,22.85,91.0
Budaun,28.05,79.12
Bulandshahr,28.4,77.85
Bundi,25.44,75.64
Burari,11.47,13.77
Burhanpur,21.3,76.23
Buxar,25.58,83.98
Champdani,22.8,88.37
Chandannagar,22.87,88.38
Chandausi,28.45,78.77
Chandigarh,30.74,76.79
Chandrapur,19.95,79.3
Chapra,22.55,89.18
Chas,23.63,86.17
Chennai,13.08,80.28
Chhattarpur,28.5,77.18
Chhindwara,22.07,78.93
Chikmagalur,13.32,75.78
Chitradurga,14.23,76.4
Chittaurgarh,24.88,74.63
Chittoor,13.2,79.12
Churu,28.3,74.95
Coimbatore,10.99,76.96
Cuddalore,11.75,79.75
Cuttack,20.5,85.83
Pura Pura,-16.48,-68.17
Damoh,23.83,79.45
Darbhanga,26.17,85.9
Darjiling,27.03,88.27
Datia,25.67,78.47
Deesa,24.25,72.17
Dehradun,30.32,78.03
Dehri,24.87,84.18
Delhi,42.85,-80.5
Delhi Cantonment,28.6,77.13
Deoghar,24.27,91.08
Deoli,20.67,78.48
Deoria,26.5,83.79
Dewas,22.97,76.07
Dhanbad,23.8,86.45
Dharmavaram,14.43,77.72
Dhaulpur,26.7,77.9
Dhule,20.9,74.78
Dibrugarh,27.48,94.9
Dimapur,25.9,93.73
Nizamat Ghopkhali,22.27,89.9
Dindigul,10.35,77.95
Dum Dum,22.62,88.42
Durgapur,23.48,87.32
Durgapur,23.48,87.32
Eluru,16.7,81.1
English Bazar,25.0,88.15
Erode,11.35,77.73
Etah,27.63,78.67
Etawah,26.77,79.03
Faizabad,26.78,82.13
Faridabad,28.43,77.32
Farrukhabad,31.2,52.61
Fatehpur,27.98,74.95
Firozabad,27.15,78.42
Firozpur,30.92,74.6
Gadag,25.63,64.31
Gandhidham,23.08,70.13
Gandhinagar,23.22,72.68
Ganganagar,29.92,73.88
Gangapur,22.53,90.68
Gangawati,15.43,76.53
Gaya,24.78,85.0
Ghazipur,25.58,83.57
Giridih,24.18,86.3
Godhra,22.75,73.63
Gokal,31.33,70.89
Gondar,12.6,37.47
Gondal,21.97,70.8
Gorakhpur,29.45,75.68
Hyderabad,25.37,68.37
Mumbai,18.98,72.83
Noida,28.57,77.32
Gudivada,16.45,80.98
Gulbarga,17.33,76.83
Guna,24.65,77.32
Guntakal,15.17,77.38
Guntur,16.3,80.45
Gurgaon,28.47,77.03
Guwahati,26.18,91.73
Gwalior,26.22,78.18
Habra,22.83,88.63
Hajipur,25.68,85.22
Haldia,22.03,88.06
Haldwani,29.22,79.52
Halisahar,22.95,88.42
Hanumangarh,29.58,74.32
Haora,22.59,88.31
Hapur,28.72,77.78
Hardoi,27.12,80.15
Hardwar,29.97,78.17
Hassan,13.0,76.1
Hathras,27.6,78.05
Hazaribag,23.98,85.35
Hindaun,26.72,77.02
Hindupur,13.83,77.49
Hinganghat,20.57,78.83
Hisar,29.17,75.72
Hoshangabad,22.75,77.72
Hoshiarpur,31.53,75.92
Hospet,15.27,76.4
Hosur,12.72,77.82
Dharwad,15.47,75.02
Hugli,22.85,91.02
Ichalkaranji,16.7,74.47
Imphal,24.82,93.95
Indore,22.72,75.83
Jabalpur,23.17,79.95
Jagadhri,30.17,77.3
Jagdalpur,19.07,82.03
Jaipur,26.92,75.82
Jalandhar,31.33,75.58
Jalgaon,21.05,76.53
Jalna,19.83,75.88
Jalpaiguri,26.52,88.73
Jamalpur,24.92,89.93
Jammu,32.73,74.87
Jamnagar,22.47,70.07
Jamshedpur,22.8,86.18
Jamuria,23.7,87.08
Jaunpur,25.73,82.68
Jehanabad,28.89,58.9
Jetpur,21.73,70.62
Jhansi,25.43,78.58
Jhunjhunun,28.13,75.4
Jind,29.32,76.32
Jodhpur,26.29,73.03
Junagadh,21.52,70.47
Kadapa,14.47,78.82
Kaithal,29.8,76.38
Kakinada,16.93,82.22
Kalol,23.25,72.48
Kalyani,22.98,88.48
Kamarhati,22.67,88.37
Kancheepuram,12.83,79.72
Kanchrapara,22.97,88.43
Kanpur,26.47,80.35
Kanpur,32.58,74.62
Karaikkudi,10.07,78.78
Nagar,22.93,90.17
Karimnagar,18.43,79.15
Karnal,29.68,76.98
Kasganj,27.82,78.65
Kashipur,29.22,78.95
Katihar,25.53,87.58
Khammam,17.25,80.15
Khandwa,21.83,76.33
Khanna,30.7,76.22
Kharagpur,22.33,87.33
Khardaha,22.72,88.38
Khargone,21.82,75.6
Khora,37.05,21.72
Khurja,28.25,77.85
Kirari,-3.39,29.54
Kishanganj,26.12,87.93
Kishangarh,27.82,76.72
Kochi,9.97,76.23
Kolar,13.13,78.13
Kolhapur,16.7,74.22
Kolkata,22.57,88.37
Kollam,8.88,76.59
Korba,22.35,82.68
Kota Bharu,6.13,102.25
Kozhikode,11.25,75.77
Krishnanagar,23.4,88.5
Kulti,23.73,86.85
Kumbakonam,10.97,79.38
Kurichi Lozy,48.08,30.35
Kurnool,15.83,78.05
Lakhimpur,27.95,80.77
Lalitpur,27.67,85.33
Latur,18.4,76.58
Loni,28.75,77.28
Lucknow,26.85,80.92
Ludhiana,30.9,75.85
Machilipatnam,16.17,81.13
Madanapalle,13.55,78.5
Madavaram,13.15,80.24
Madhyamgram,22.7,88.45
Madurai,9.93,78.12
Mahbubnagar,16.73,77.98
Mahesana,23.6,72.4
Mainpuri,27.23,79.02
Malegaon,20.55,74.53
Mandsaur,24.07,75.07
Mandya,12.52,76.9
Mangalore,12.86,74.84
Mangochi,-14.47,35.27
Mathura,27.5,77.68
Maunath Bhanjan,25.94,83.56
Medinipur,22.43,87.33
Meerut,28.98,77.7
Mira,29.7,-9.47
Mirzapur-Cum-Vindhyachal,25.15,82.58
Mogadishu,2.07,45.37
Moradabad,28.83,78.78
Morena,26.5,78.0
Morvi,22.82,70.83
Motihari,26.65,84.92
Muktsar,30.48,74.52
Munger,25.38,86.47
Murwara,23.85,80.4
Mustafabad,30.77,73.7
Muzaffarnagar,29.47,77.68
Muzaffarpur,26.12,85.4
