city,latitude,longitude,temperature,humidity
Abohar,30.15,74.18,39.8,20
Achalpur,21.26,77.51,41.6,16
Adilabad,19.67,78.53,40.7,20
Adityapur,23.2,90.12,28.0,88
Adoni,15.63,77.28,35.8,41
Agartala,23.84,91.28,32.8,63
Agra,27.18,78.02,35.9,37
Ahmadabad,34.25,62.42,36.4,8
Ahmadnagar,19.08,74.73,36.7,28
Aizawl,23.72,92.72,26.6,57
Ajmer,26.45,74.63,37.3,28
Akbarpur,26.38,79.95,36.7,35
Akola,20.73,77.0,40.9,19
Alandur,13.0,80.21,37.0,45
Alappuzha,9.49,76.33,27.9,82
Aligarh,27.88,78.08,35.2,41
Allahabad,25.45,81.85,35.7,39
Alwar,27.57,76.6,34.0,42
Ambala,30.38,76.78,34.0,37
Ambala,22.95,90.08,28.5,87
Ambarnath,19.2,73.17,36.0,45
Ambattur,13.08,80.09,37.5,42
Ambikapur,23.12,83.2,35.0,30
Ambur,12.78,78.7,34.1,46
Amravati,20.93,77.75,41.3,16
Amreli,21.62,71.23,38.3,35
Amritsar,31.63,74.87,34.4,28
Amroha,28.92,78.47,30.8,56
Anand,22.57,72.93,39.0,40
Anantapur,14.68,77.6,36.6,37
Anantnag,33.73,75.15,25.8,34
Arrah,6.67,-3.97,27.9,79
Asansol,23.68,86.98,27.5,84
Ashoknagar,24.57,77.72,38.8,25
Aurangabad,19.88,75.33,38.2,24
Aurangabad,19.88,75.33,38.2,24
Avadi,13.12,80.1,37.5,42
Azamgarh,26.06,83.19,32.5,50
Badlapur,19.15,73.27,35.7,45
Bagaha,27.1,84.08,26.4,85
Bagalkot,16.18,75.7,36.4,32
Bahadurgarh,28.68,76.92,35.0,42
Baharampur,24.1,88.25,28.6,77
Bahraich,27.58,81.6,30.9,57
Baidyabati,22.79,88.32,25.6,96
Baleshwar,21.49,86.93,27.6,88
Ballia,25.75,84.17,31.8,57
Bally,22.65,88.34,25.0,98
Bally Bally,-32.17,117.1,12.9,85
Balurghat,25.22,88.77,31.6,63
Bandarlampung,-5.43,105.26,27.5,75
Bankura,23.25,87.07,26.5,90
Jalkar Bansberia,24.62,88.25,26.9,91
Banswara,23.55,74.45,38.8,33
Baranagar,22.64,88.37,25.0,97
Baranagar,22.64,88.37,25.0,97
Barasat,22.68,88.44,25.0,97
Baraut,29.1,77.27,31.4,56
Barddhaman,23.24,87.87,26.0,97
Bareilly,28.35,79.42,33.4,43
Baripada,21.94,86.72,27.6,83
Barnala,30.38,75.55,37.0,28
Barshi,43.05,42.52,7.3,87
Basirhat,22.66,88.89,25.4,96
Basti,26.8,82.72,31.1,56
Batala,31.82,75.2,35.2,28
Beawar,26.1,74.32,38.2,28
Begusarai,25.42,86.13,30.0,69
Belgaum,15.87,74.5,30.6,56
Bellary,15.15,76.93,36.0,36
Bengaluru,12.98,77.58,31.8,48
Bettiah,26.8,84.5,29.3,68
Betul,21.86,77.93,37.8,21
Bhadrak,21.05,86.52,30.1,76
Bhadravati,13.87,75.72,30.5,60
Bhadreswar,22.82,88.35,25.6,96
Bhagalpur,25.25,87.0,30.6,69
Pur Pur,-7.71,-77.78,3.2,71
Bharatpur,27.22,77.48,35.2,39
Bharuch,21.7,72.97,35.3,49
Bhatpara,22.87,88.41,25.5,97
Bhavnagar,21.77,72.15,42.2,24
Bhilai,21.22,81.43,41.5,17
Bhilwara,25.35,74.63,38.2,28
Bhimavaram,16.53,81.53,38.8,42
Bhind,26.56,78.79,36.8,34
